iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000812,0.003025,0.000331
2,20,0.002124,0.005830,0.000461
3,40,0.007434,0.010540,0.001202
4,80,0.026370,0.020368,0.004428
5,160,0.111760,0.043111,0.015569
6,320,0.493229,0.085291,0.060705
7,640,2.965246,0.175200,0.257625
8,1280,5.685161,0.415012,0.956992
9,2560,23.128441,0.857846,3.859891
10,5120,99.862420,1.730620,15.341261
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000832,0.003296,0.000351
2,20,0.002004,0.005871,0.000501
3,40,0.007855,0.010931,0.001192
4,80,0.026470,0.020719,0.004409
5,160,0.117952,0.038853,0.015840
6,320,0.509199,0.083047,0.061566
7,640,3.190742,0.170641,0.241084
8,1280,5.689750,0.386198,0.960089
9,2560,23.146687,0.800147,3.860984
10,5120,99.357232,1.727886,15.542662
