iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000952,0.001132,0.000291
2,20,0.002154,0.000761,0.000441
3,40,0.006272,0.001242,0.001142
4,80,0.027992,0.002174,0.004309
5,160,0.101822,0.004167,0.015549
6,320,0.371039,0.009598,0.060854
7,640,1.450562,0.039504,0.239331
8,1280,5.678427,0.111660,1.141019
9,2560,23.257655,0.249981,3.854581
10,5120,99.402784,0.513678,15.412946
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000951,0.000842,0.000291
2,20,0.002074,0.000972,0.000460
3,40,0.006763,0.001663,0.001202
4,80,0.025468,0.003106,0.004428
5,160,0.101481,0.006061,0.016120
6,320,0.377661,0.015940,0.061806
7,640,1.470982,0.045446,0.241425
8,1280,5.917839,0.151406,1.428441
9,2560,27.450305,0.228069,3.860052
10,5120,99.294275,0.464545,15.676563
