iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000792,0.003366,0.000280
2,20,0.002324,0.005570,0.000471
3,40,0.007414,0.010931,0.001193
4,80,0.026069,0.019557,0.004319
5,160,0.100198,0.039835,0.016141
6,320,0.379255,0.082636,0.061706
7,640,1.432639,0.188756,0.243328
8,1280,5.702884,0.394594,0.955250
9,2560,24.247780,0.754612,3.869380
10,5120,98.740927,1.716995,15.329970
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000781,0.003226,0.000270
2,20,0.001984,0.005921,0.000490
3,40,0.007284,0.011422,0.001183
4,80,0.026149,0.020438,0.004408
5,160,0.100560,0.039424,0.016120
6,320,0.369596,0.083948,0.061686
7,640,1.462856,0.181773,0.241865
8,1280,5.722792,0.406566,0.967163
9,2560,24.594814,0.718724,3.862587
10,5120,98.119110,1.678182,15.346612
