iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000732,0.003306,0.000400
2,20,0.002364,0.005400,0.000471
3,40,0.007835,0.011191,0.001182
4,80,0.025999,0.023093,0.004338
5,160,0.098946,0.039795,0.015590
6,320,0.384404,0.085211,0.061496
7,640,1.457045,0.195107,0.239682
8,1280,5.610740,0.402959,0.954508
9,2560,23.060714,0.876221,3.862266
10,5120,97.862281,1.748834,15.366689
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000541,0.002946,0.020128
2,20,0.002013,0.005801,0.000521
3,40,0.007665,0.010960,0.001202
4,80,0.026049,0.020499,0.004409
5,160,0.098205,0.042470,0.016271
6,320,0.380036,0.083417,0.062067
7,640,1.426778,0.187153,0.242938
8,1280,5.693456,0.383452,0.962583
9,2560,23.258858,0.827198,3.941776
10,5120,98.325238,1.801554,15.343466
