iteration,size,bubble,insertion,selection,quick,merge
1,10,0.020569,0.004959,0.010069
2,20,0.056607,0.007544,0.037411
3,40,0.300767,0.010369,0.134714
4,80,0.819423,0.021450,0.626330
5,160,2.946922,0.040406,2.280577
6,320,11.973927,0.082796,3.201201
7,640,5.750874,0.167997,1.173751
8,1280,9.081378,0.345571,0.957904
9,2560,29.302443,0.776593,3.867976
10,5120,115.335217,1.492672,15.330160
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.018194,0.005089,0.010681
2,20,0.086262,0.008095,0.035286
3,40,0.278755,0.017723,0.182604
4,80,0.759501,0.027462,0.608276
5,160,3.203174,0.040496,2.161582
6,320,11.874180,0.080612,3.184980
7,640,5.701091,0.165552,1.195532
8,1280,9.203769,0.340993,0.956973
9,2560,29.849835,0.772977,3.884178
10,5120,116.429203,1.457696,15.333878
