iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000791,0.003116,0.000270
2,20,0.002224,0.005992,0.000431
3,40,0.006162,0.010420,0.001172
4,80,0.025237,0.021581,0.004328
5,160,0.134413,0.048962,0.015940
6,320,0.510972,0.084619,0.060725
7,640,2.045062,0.169580,0.241896
8,1280,8.015000,0.351713,0.958916
9,2560,32.158533,0.760342,3.857757
10,5120,145.653775,1.684303,15.643811
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000872,0.003136,0.000250
2,20,0.002445,0.005841,0.000461
3,40,0.007143,0.010490,0.001203
4,80,0.025738,0.019958,0.004368
5,160,0.111831,0.039204,0.016130
6,320,0.505402,0.081153,0.061336
7,640,1.989608,0.171293,0.241785
8,1280,8.065384,0.340271,0.952194
9,2560,33.138360,0.795609,3.875251
10,5120,133.873339,1.636153,15.329951
