iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000812,0.003627,0.000271
2,20,0.002094,0.006221,0.000421
3,40,0.007354,0.011692,0.001182
4,80,0.025949,0.021240,0.004378
5,160,0.100549,0.035928,0.015770
6,320,0.376890,0.085411,0.060894
7,640,1.455022,0.203944,0.239351
8,1280,5.645415,0.126578,0.952524
9,2560,23.004057,0.252095,3.851707
10,5120,97.830923,0.554555,15.360768
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000631,0.003506,0.000261
2,20,0.002084,0.005591,0.000471
3,40,0.007194,0.011892,0.001172
4,80,0.026530,0.021340,0.004348
5,160,0.100760,0.038703,0.015610
6,320,0.402909,0.087595,0.061756
7,640,1.429222,0.184809,0.241665
8,1280,5.628994,0.123563,0.964457
9,2560,23.119676,0.258517,3.894196
10,5120,97.937379,0.505202,15.355398
