iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000591,0.000631,0.000261
2,20,0.002154,0.000762,0.000461
3,40,0.007294,0.001302,0.001193
4,80,0.025719,0.002174,0.004298
5,160,0.100850,0.004158,0.015579
6,320,0.380788,0.010500,0.060855
7,640,1.467054,0.041368,0.239882
8,1280,5.631699,0.111160,0.953156
9,2560,23.243899,0.255161,3.856626
10,5120,97.440767,0.538465,15.328427
iteration,size,bubble,insertion,selection,quick,merge
1,10,0.000872,0.000672,0.000260
2,20,0.002074,0.000942,0.000491
3,40,0.007775,0.001724,0.001242
4,80,0.026119,0.003136,0.004409
5,160,0.096822,0.006091,0.016141
6,320,0.384244,0.014327,0.061767
7,640,1.492882,0.041327,0.241395
8,1280,5.641428,0.112933,0.962985
9,2560,23.135555,0.259799,3.860563
10,5120,98.047156,0.502487,15.339839
