iteration,size,target,linear,binary_i,binary_r,
1,10,9,0.000822,0.000942,0.000822
2,20,16,0.001302,0.001092,0.000401
3,40,17,0.001823,0.001042,0.000481
4,80,61,0.001924,0.001052,0.000341
5,160,65,0.004419,0.001363,0.000451
6,320,104,0.023865,0.001283,0.000831
7,640,586,0.027963,0.001303,0.000421
8,1280,1207,0.051697,0.001262,0.000381
9,2560,35,0.051297,0.001513,0.012964
10,5120,4092,0.066205,0.001593,0.000431
iteration,size,target,linear,binary_i,binary_r,
1,10,5,0.000941,0.001032,0.000731
2,20,7,0.001082,0.000852,0.000451
3,40,38,0.000511,0.000661,0.000371
4,80,30,0.004078,0.001062,0.000451
5,160,59,0.002285,0.001062,0.000500
6,320,150,0.007234,0.001232,0.001253
7,640,491,0.032000,0.001252,0.000471
8,1280,716,0.016861,0.001433,0.000561
9,2560,884,0.137329,0.001413,0.000592
10,5120,37,0.059302,0.001392,0.061295
