iteration,size,target,linear,binary_i,binary_r,
1,10,0,0.000481,0.000802,0.000701
2,20,15,0.000771,0.001032,0.000301
3,40,19,0.000350,0.000702,0.000291
4,80,31,0.002244,0.001072,0.000481
5,160,122,0.007624,0.001092,0.000410
6,320,87,0.002975,0.001353,0.002585
7,640,62,0.008175,0.001302,0.000581
8,1280,906,0.018415,0.001403,0.000451
9,2560,1322,0.086312,0.001503,0.000661
10,5120,2676,0.083557,0.002274,0.000651
iteration,size,target,linear,binary_i,binary_r,
1,10,7,0.001132,0.001012,0.000671
2,20,14,0.000701,0.000962,0.000431
3,40,10,0.002565,0.001002,0.000511
4,80,49,0.001082,0.001373,0.001332
5,160,118,0.006292,0.001132,0.000460
6,320,91,0.002565,0.001182,0.001263
7,640,568,0.006943,0.001383,0.000490
8,1280,217,0.025357,0.001323,0.002234
9,2560,868,0.073369,0.001463,0.001002
10,5120,1465,0.037230,0.001563,0.001994
