iteration,size,target,linear,binary_i,binary_r,
1,10,5,0.001302,0.001031,0.000892
2,20,4,0.000932,0.001002,0.000420
3,40,39,0.001553,0.001082,0.000341
4,80,79,0.001252,0.001092,0.000301
5,160,24,0.005561,0.001232,0.001262
6,320,142,0.000461,0.001333,0.000491
7,640,630,0.024476,0.001292,0.000381
8,1280,1121,0.004528,0.001513,0.000541
9,2560,212,0.161404,0.001693,0.003847
10,5120,5020,0.252827,0.001703,0.000521
iteration,size,target,linear,binary_i,binary_r,
1,10,5,0.000892,0.001062,0.000902
2,20,8,0.001283,0.000571,0.000290
3,40,10,0.000371,0.000801,0.000531
4,80,47,0.002144,0.000671,0.000421
5,160,127,0.007634,0.000822,0.000491
6,320,56,0.027121,0.001192,0.003276
7,640,240,0.035617,0.001382,0.000661
8,1280,1116,0.082335,0.001423,0.000481
9,2560,1695,0.001522,0.001513,0.000752
10,5120,1531,0.048271,0.001533,0.001052
