iteration,size,target,linear,binary_i,binary_r,
1,10,6,0.001012,0.001072,0.000842
2,20,7,0.001793,0.000971,0.000431
3,40,18,0.001613,0.000992,0.000430
4,80,8,0.001884,0.000731,0.001713
5,160,96,0.007514,0.000782,0.000341
6,320,195,0.008376,0.001212,0.000461
7,640,78,0.006452,0.001273,0.002515
8,1280,371,0.029535,0.001463,0.001052
9,2560,1603,0.090400,0.001503,0.000541
10,5120,92,0.163528,0.001563,0.041448
iteration,size,target,linear,binary_i,binary_r,
1,10,9,0.001513,0.001102,0.000731
2,20,17,0.000510,0.000982,0.000280
3,40,19,0.002665,0.000892,0.000491
4,80,17,0.000912,0.000942,0.000561
5,160,133,0.011712,0.001243,0.000411
6,320,256,0.005019,0.001222,0.000431
7,640,389,0.027672,0.001272,0.000331
8,1280,952,0.060915,0.001343,0.000521
9,2560,340,0.165602,0.001513,0.003366
10,5120,4464,0.090500,0.001523,0.000461
