iteration,size,target,linear,binary_i,binary_r,
1,10,0,0.001102,0.001092,0.000721
2,20,11,0.001192,0.000722,0.000321
3,40,29,0.002475,0.001082,0.000411
4,80,62,0.000461,0.001052,0.000350
5,160,103,0.011532,0.001262,0.000601
6,320,75,0.004589,0.001273,0.002044
7,640,518,0.022843,0.001343,0.000471
8,1280,345,0.047981,0.001553,0.001052
9,2560,340,0.057939,0.001523,0.001944
10,5120,4150,0.214304,0.001694,0.000531
iteration,size,target,linear,binary_i,binary_r,
1,10,5,0.001433,0.001012,0.000721
2,20,9,0.000371,0.000611,0.000280
3,40,12,0.001012,0.001021,0.000520
4,80,62,0.003156,0.001182,0.000501
5,160,85,0.009518,0.001142,0.000451
6,320,253,0.002876,0.001253,0.000501
7,640,608,0.028083,0.001503,0.000441
8,1280,638,0.014888,0.001363,0.000782
9,2560,1976,0.209355,0.001433,0.000491
10,5120,2558,0.107352,0.001553,0.000651
