iteration,size,target,linear,binary_i,binary_r,
1,10,5,0.000731,0.001002,0.000651
2,20,19,0.000390,0.000952,0.004479
3,40,21,0.001623,0.000892,0.003787
4,80,44,0.004879,0.001102,0.000461
5,160,28,0.004237,0.001212,0.000691
6,320,65,0.012925,0.001383,0.000451
7,640,182,0.035767,0.001473,0.001062
8,1280,322,0.026329,0.001522,0.002074
9,2560,1716,0.014698,0.001603,0.000581
10,5120,4174,0.070273,0.001603,0.000521
iteration,size,target,linear,binary_i,binary_r,
1,10,6,0.000802,0.000871,0.005350
2,20,1,0.001573,0.000931,0.003467
3,40,14,0.003457,0.001012,0.000531
4,80,67,0.001322,0.001153,0.000341
5,160,131,0.007254,0.001142,0.000481
6,320,92,0.009458,0.001343,0.000651
7,640,384,0.000822,0.001313,0.000641
8,1280,330,0.090019,0.001312,0.002405
9,2560,556,0.021240,0.001393,0.001673
10,5120,2965,0.085461,0.001623,0.000541
